date;topix_open;topix_max;topix_min;topix_close;topix_closed_ajusted;topix_volume;euro_open;euro_max;euro_min;euro_close;euro_closed_ajusted;euro_volume;sp500_open;sp500_max;sp500_min;sp500_close;sp500_closed_ajusted;sp500_volume;sse_open;sse_max;sse_min;sse_close;sse_closed_ajusted;sse_volume;nasdaq_open;nasdaq_max;nasdaq_min;nasdaq_close;nasdaq_closed_ajusted;nasdaq_volume
21/07/2020;1628.00;1632.00;1625.00;1631.00;1631.00;753690.00;1021.03;1028.53;1016.51;1017.79;1017.79;239351000.00;3268.52;3277.29;3247.77;3257.30;3257.30;4547960000.00;3330.55;3336.68;3300.57;3320.90;3320.90;359300.00;10837.88;10839.93;10650.46;10680.36;10680.36;5311750000.00
22/07/2020;1625.00;1630.00;1619.00;1619.00;1619.00;1143600.00;1015.81;1016.03;1002.06;1003.79;1003.79;211548800.00;3254.86;3279.32;3253.10;3276.02;3276.02;4255190000.00;3315.18;3381.98;3311.79;3333.16;3333.16;393300.00;10687.58;10745.32;10627.45;10706.13;10706.13;4074020000.00
23/07/2020;;;;;;;1009.84;1013.35;1002.54;1005.27;1005.27;198488200.00;3271.64;3279.99;3222.66;3235.66;3235.66;4290460000.00;3306.15;3336.30;3257.83;3325.11;3325.11;407000.00;10689.50;10728.12;10407.87;10461.42;10461.42;4469470000.00
24/07/2020;;;;;;;992.39;992.58;981.22;986.95;986.95;178936600.00;3218.58;3227.26;3200.05;3215.63;3215.63;3894900000.00;3310.65;3319.13;3184.97;3196.77;3196.77;427100.00;10294.41;10418.75;10217.31;10363.18;10363.18;4205330000.00
27/07/2020;1603.00;1625.00;1598.00;1625.00;1625.00;1944900.00;983.90;987.32;978.98;983.70;983.70;187733300.00;3219.84;3241.43;3214.25;3239.41;3239.41;3963910000.00;3210.39;3221.99;3174.66;3205.23;3205.23;299300.00;10421.70;10546.44;10399.86;10536.27;10536.27;4209900000.00
28/07/2020;1625.00;1631.00;1614.00;1617.00;1617.00;1036230.00;982.78;986.63;977.25;984.90;984.90;188959900.00;3234.27;3243.72;3216.17;3218.44;3218.44;4027890000.00;3226.13;3245.30;3208.49;3227.96;3227.96;289400.00;10509.20;10523.64;10397.87;10402.09;10402.09;3869230000.00
29/07/2020;1606.00;1608.00;1594.00;1595.00;1595.00;1372300.00;985.41;990.92;985.16;987.09;987.09;186623500.00;3227.22;3264.74;3227.22;3258.44;3258.44;4676300000.00;3221.99;3294.55;3209.99;3294.55;3294.55;324900.00;10474.70;10567.91;10464.00;10542.94;10542.94;3970900000.00
30/07/2020;1600.00;1602.00;1584.00;1585.00;1585.00;640540.00;988.67;988.67;956.22;966.08;966.08;306775400.00;3231.76;3250.92;3204.13;3246.22;3246.22;4254010000.00;3299.57;3312.45;3282.16;3286.82;3286.82;340700.00;10450.12;10609.59;10412.09;10587.81;10587.81;4135200000.00
31/07/2020;1580.00;1581.00;1541.00;1542.00;1542.00;2555980.00;969.99;976.57;954.26;954.26;954.26;288781800.00;3270.45;3272.17;3220.26;3271.12;3271.12;5117260000.00;3280.80;3333.79;3261.61;3310.01;3310.01;353800.00;10741.47;10747.80;10557.70;10745.27;10745.27;4418390000.00
03/08/2020;1558.00;1569.00;1553.00;1566.00;1566.00;993730.00;956.19;974.66;949.94;971.31;971.31;232805400.00;3288.26;3302.73;3284.53;3294.61;3294.61;4643640000.00;3332.18;3368.10;3327.68;3367.97;3367.97;407500.00;10848.64;10927.56;10831.15;10902.80;10902.80;4173600000.00
04/08/2020;1588.00;1602.00;1587.00;1601.00;1601.00;1460070.00;977.04;980.16;967.00;973.30;973.30;216172000.00;3289.92;3306.84;3286.37;3306.51;3306.51;4621670000.00;3376.44;3391.07;3352.50;3371.69;3371.69;442300.00;10897.89;10941.91;10852.90;10941.17;10941.17;3973570000.00
05/08/2020;1595.00;1603.00;1586.00;1600.00;1600.00;989680.00;979.87;986.30;978.22;981.70;981.70;208511200.00;3317.37;3330.77;3317.37;3327.77;3327.77;4732220000.00;3363.33;3383.64;3333.88;3377.56;3377.56;385800.00;10967.87;11002.11;10943.72;10998.40;10998.40;4119550000.00
06/08/2020;1597.00;1606.00;1592.00;1596.00;1596.00;1511590.00;979.29;984.10;968.63;972.82;972.82;213597000.00;3323.17;3351.03;3318.14;3349.16;3349.16;4267490000.00;3380.76;3392.70;3334.33;3386.46;3386.46;415300.00;10989.98;11121.19;10963.41;11108.07;11108.07;4086290000.00
07/08/2020;1597.00;1600.00;1585.00;1595.00;1595.00;930040.00;968.21;974.58;964.87;972.95;972.95;178834700.00;3340.05;3352.54;3328.72;3351.28;3351.28;4104860000.00;3370.59;3374.13;3307.71;3354.03;3354.03;403900.00;11072.53;11126.04;10920.37;11010.98;11010.98;4230720000.00
10/08/2020;;;;;;;974.40;979.32;968.77;973.11;973.11;170760900.00;3356.04;3363.29;3335.44;3360.47;3360.47;4318570000.00;3341.53;3399.93;3335.04;3379.25;3379.25;381400.00;11033.73;11040.24;10849.46;10968.36;10968.36;4018530000.00
11/08/2020;1608.00;1635.00;1608.00;1635.00;1635.00;2669220.00;981.30;997.81;980.90;993.70;993.70;250570700.00;3370.34;3381.01;3326.44;3333.69;3333.69;5087650000.00;3379.49;3409.06;3336.09;3340.29;3340.29;400500.00;10942.66;10989.42;10762.71;10782.82;10782.82;4303980000.00
12/08/2020;1636.00;1656.00;1633.00;1653.00;1653.00;2370690.00;991.86;1008.20;991.10;1005.71;1005.71;217726000.00;3355.46;3387.89;3355.46;3380.35;3380.35;3768560000.00;3327.49;3335.73;3263.26;3319.27;3319.27;378300.00;10878.12;11036.72;10877.16;11012.24;11012.24;3716840000.00
13/08/2020;1668.00;1677.00;1661.00;1674.00;1674.00;2662530.00;1002.02;1005.14;998.02;999.29;999.29;206407800.00;3372.95;3387.24;3363.35;3373.43;3373.43;3648810000.00;3328.18;3338.15;3309.46;3320.73;3320.73;324300.00;11026.86;11124.85;11007.50;11042.50;11042.50;3444140000.00
14/08/2020;1675.00;1675.00;1667.00;1671.00;1671.00;1194770.00;995.41;995.41;976.81;984.47;984.47;184334400.00;3368.66;3378.51;3361.64;3372.85;3372.85;3193400000.00;3315.67;3362.03;3302.74;3360.10;3360.10;306000.00;11042.24;11058.44;10972.06;11019.30;11019.30;3491320000.00
17/08/2020;1665.00;1672.00;1657.00;1657.00;1657.00;1907690.00;986.23;989.29;978.80;986.21;986.21;134256500.00;3380.86;3387.59;3379.22;3381.99;3381.99;3671290000.00;3373.90;3450.90;3369.37;3438.80;3438.80;434600.00;11083.25;11144.53;11080.30;11129.73;11129.73;3193160000.00
18/08/2020;1654.00;1660.00;1646.00;1658.00;1658.00;1031080.00;982.86;991.06;977.49;980.25;980.25;158003600.00;3387.04;3395.06;3370.15;3389.78;3389.78;3881310000.00;3441.93;3456.72;3432.64;3451.09;3451.09;380700.00;11170.75;11230.62;11103.83;11210.84;11210.84;3199470000.00
19/08/2020;1653.00;1664.00;1649.00;1662.00;1662.00;885680.00;977.85;985.67;976.10;985.67;985.67;148957600.00;3392.51;3399.54;3369.66;3374.85;3374.85;3884480000.00;3444.56;3454.46;3406.16;3408.13;3408.13;405700.00;11214.80;11257.42;11132.10;11146.46;11146.46;3467890000.00
20/08/2020;1654.00;1660.00;1644.00;1645.00;1645.00;757800.00;974.02;977.68;968.95;972.50;972.50;160560100.00;3360.48;3390.80;3354.69;3385.51;3385.51;3642850000.00;3385.97;3394.56;3352.78;3363.90;3363.90;335600.00;11096.40;11283.62;11090.03;11264.95;11264.95;4170980000.00
21/08/2020;1655.00;1663.00;1649.00;1653.00;1653.00;1201420.00;975.61;978.82;960.71;971.82;971.82;188197900.00;3386.01;3399.96;3379.31;3397.16;3397.16;3705420000.00;3380.23;3393.92;3358.00;3380.68;3380.68;287500.00;11258.44;11326.21;11245.44;11311.80;11311.80;3905670000.00
24/08/2020;1651.00;1656.00;1646.00;1656.00;1656.00;1189440.00;982.38;993.81;982.38;992.27;992.27;166605400.00;3418.09;3432.09;3413.13;3431.28;3431.28;3728690000.00;3391.11;3396.57;3368.03;3385.64;3385.64;266200.00;11449.25;11462.05;11297.53;11379.72;11379.72;3885880000.00
25/08/2020;1674.00;1682.00;1671.00;1671.00;1671.00;3454980.00;995.10;1003.07;992.00;992.37;992.37;181814200.00;3435.95;3444.21;3425.84;3443.62;3443.62;3619300000.00;3392.88;3408.87;3364.16;3373.58;3373.58;277100.00;11370.23;11468.26;11343.04;11466.47;11466.47;3454500000.00
26/08/2020;1665.00;1673.00;1664.00;1673.00;1673.00;1015340.00;990.45;1003.58;987.99;1003.44;1003.44;139645700.00;3449.97;3481.07;3444.15;3478.73;3478.73;3754360000.00;3371.81;3382.60;3320.14;3329.74;3329.74;294500.00;11516.62;11672.05;11507.46;11665.06;11665.06;3441550000.00
27/08/2020;1673.00;1673.00;1661.00;1662.00;1662.00;1266880.00;1004.82;1004.82;996.55;996.84;996.84;163789200.00;3485.14;3501.38;3468.35;3484.55;3484.55;3929560000.00;3333.49;3351.83;3312.99;3350.11;3350.11;237100.00;11688.19;11730.01;11551.01;11625.34;11625.34;3535800000.00
28/08/2020;1668.00;1686.00;1638.00;1650.00;1650.00;8859330.00;999.26;999.28;986.57;991.54;991.54;173554600.00;3494.69;3509.23;3484.32;3508.01;3508.01;3855880000.00;3346.29;3405.88;3339.65;3403.81;3403.81;271300.00;11689.28;11708.77;11634.77;11695.63;11695.63;2997810000.00
31/08/2020;1672.00;1684.00;1660.00;1660.00;1660.00;2768690.00;1000.42;1002.31;978.93;979.97;979.97;229320600.00;3509.73;3514.77;3493.25;3500.31;3500.31;4342290000.00;3416.55;3442.74;3395.47;3395.68;3395.68;323500.00;11718.81;11829.84;11697.42;11775.46;11775.46;3596980000.00
01/09/2020;1662.00;1667.00;1653.00;1663.00;1663.00;1042070.00;986.11;990.13;972.91;981.28;981.28;216715700.00;3507.44;3528.03;3494.60;3526.65;3526.65;4083110000.00;3389.74;3410.61;3381.71;3410.61;3410.61;247000.00;11850.96;11945.72;11794.78;11939.67;11939.67;3480780000.00
02/09/2020;1670.00;1672.00;1663.00;1672.00;1672.00;1651010.00;987.44;1003.67;985.75;997.42;997.42;203046400.00;3543.76;3588.11;3535.23;3580.84;3580.84;4285190000.00;3420.47;3421.40;3377.21;3404.80;3404.80;261500.00;12047.26;12074.06;11836.18;12056.44;12056.44;3966140000.00
03/09/2020;1689.00;1691.00;1676.00;1678.00;1678.00;2271520.00;1005.51;1012.24;981.81;986.76;986.76;231644800.00;3564.74;3564.85;3427.41;3455.06;3455.06;4898680000.00;3404.03;3425.63;3374.26;3384.98;3384.98;255300.00;11861.90;11894.40;11361.36;11458.10;11458.10;4437500000.00
04/09/2020;1656.00;1668.00;1655.00;1664.00;1664.00;1270110.00;979.97;994.88;966.65;974.02;974.02;267543800.00;3453.60;3479.15;3349.63;3426.96;3426.96;4431440000.00;3336.41;3360.11;3328.55;3355.37;3355.37;221600.00;11396.24;11531.18;10875.87;11313.13;11313.13;4269190000.00
07/09/2020;1659.00;1667.00;1654.00;1658.00;1658.00;1632370.00;976.71;990.37;976.71;988.89;988.89;151562700.00;;;;;;;3349.92;3368.25;3285.63;3292.59;3292.59;260600.00;;;;;;
08/09/2020;1661.00;1670.00;1657.00;1670.00;1670.00;1057270.00;988.06;989.31;964.94;973.47;973.47;227817000.00;3371.88;3379.97;3329.27;3331.84;3331.84;4665600000.00;3301.22;3324.39;3276.44;3316.42;3316.42;271100.00;10900.70;11131.50;10837.20;10847.69;10847.69;3872230000.00
09/09/2020;1643.00;1654.00;1639.00;1651.00;1651.00;6068840.00;974.58;990.97;973.94;988.89;988.89;222339700.00;3369.82;3424.77;3366.84;3398.96;3398.96;3920830000.00;3281.00;3289.61;3238.56;3254.63;3254.63;351500.00;11064.76;11217.69;10970.45;11141.56;11141.56;3531780000.00
10/09/2020;1664.00;1674.00;1661.00;1673.00;1673.00;6329560.00;988.97;992.74;982.90;986.47;986.47;183087800.00;3412.56;3425.55;3329.25;3339.19;3339.19;4192250000.00;3282.23;3285.47;3227.64;3234.82;3234.82;312500.00;11235.53;11299.53;10875.02;10919.59;10919.59;3814100000.00
