bitcoin_close;bitcoin_open;bitcoin_max;bitcoin_min;bitcoin_volume;date
10,158.4;9,701.5;10,230.1;9,601.6;945.91K;18/02/2020
9,609.4;10,158.6;10,230.9;9,424.3;905.95K;19/02/2020
9,602.4;9,611.9;9,681.4;9,448.9;870.80K;20/02/2020
9,684.5;9,602.2;9,747.1;9,574.5;716.61K;21/02/2020
9,655.7;9,684.5;9,706.5;9,569.8;589.88K;22/02/2020
9,942.7;9,655.6;9,965.6;9,653.4;775.88K;23/02/2020
9,662.7;9,943.2;9,981.0;9,507.0;980.00K;24/02/2020
9,317.2;9,662.6;9,672.3;9,269.8;937.97K;25/02/2020
8,800.3;9,317.1;9,368.1;8,672.0;1.32M;26/02/2020
8,818.6;8,800.1;8,968.3;8,538.5;1.13M;27/02/2020
8,697.5;8,820.1;8,898.7;8,451.9;1.08M;28/02/2020
8,543.7;8,697.1;8,793.7;8,539.8;683.44K;29/02/2020
8,540.0;8,543.8;8,737.2;8,437.2;784.05K;01/03/2020
8,904.8;8,537.5;8,961.8;8,503.1;1.02M;02/03/2020
8,761.4;8,906.1;8,911.7;8,669.3;1.01M;03/03/2020
8,757.9;8,761.3;8,840.3;8,679.7;759.69K;04/03/2020
9,060.3;8,757.9;9,147.3;8,751.5;950.76K;05/03/2020
9,134.8;9,060.6;9,165.2;9,004.9;1.04M;06/03/2020
8,887.8;9,134.2;9,180.8;8,848.7;750.65K;07/03/2020
8,034.1;8,887.8;8,888.0;8,015.3;1.11M;08/03/2020
7,933.0;8,035.8;8,158.8;7,648.7;1.54M;09/03/2020
7,891.2;7,933.0;8,145.5;7,740.2;1.20M;10/03/2020
7,935.1;7,892.1;7,976.5;7,606.0;1.10M;11/03/2020
4,826.0;7,935.2;7,963.1;4,546.6;3.22M;12/03/2020
5,584.3;4,815.2;5,934.3;3,869.5;4.17M;13/03/2020
5,182.7;5,589.4;5,634.9;5,072.2;1.69M;14/03/2020
5,366.3;5,182.9;5,863.3;5,120.6;1.61M;15/03/2020
5,030.0;5,366.4;5,369.3;4,477.7;2.55M;16/03/2020
5,261.1;5,030.2;5,432.8;4,946.5;1.89M;17/03/2020
